2016-08-18 10:42:01,474 INFO  [SoapUI] Adding [D:\Program Files\SmartBear\SoapUI-Pro-5.1.2\bin\ext\customer.jar] to extensions classpath
2016-08-18 10:42:01,475 INFO  [SoapUI] Adding [D:\Program Files\SmartBear\SoapUI-Pro-5.1.2\bin\ext\postgresql-8.3-604.jdbc3.jar] to extensions classpath
2016-08-18 10:42:01,475 INFO  [SoapUI] Adding [D:\Program Files\SmartBear\SoapUI-Pro-5.1.2\bin\ext\postgresql-8.3-604.jdbc4.jar] to extensions classpath
2016-08-18 10:42:01,475 INFO  [SoapUI] Adding [D:\Program Files\SmartBear\SoapUI-Pro-5.1.2\bin\ext\sqljdbc.jar] to extensions classpath
2016-08-18 10:42:01,475 INFO  [DefaultSoapUICore] Creating new settings at [C:\WINDOWS\system32\config\systemprofile\soapui-settings.xml]
2016-08-18 10:42:02,632 INFO  [SoapUIProGroovyScriptEngineFactory] Setting Script Library to [F:\TestSoapUI\TestSoapUI\Soapui\bin]
2016-08-18 10:42:02,638 INFO  [DefaultSoapUICore] Adding listeners from [D:\Program Files\SmartBear\SoapUI-Pro-5.1.2\bin\listeners\demo-listeners.xml]
2016-08-18 10:42:05,307 INFO  [WsdlProject] Loaded project from [file:/F:/TestSoapUI/TestSoapUI/Soapui/project_xml/ReportList.xml]
2016-08-18 10:42:05,996 INFO  [SoapUIProGroovyScriptEngineFactory] Setting Script Library to [F:\TestSoapUI\TestSoapUI\Soapui\bin]
2016-08-18 10:42:07,427 INFO  [SoapUIProTestCaseRunner] Running SoapUI tests in project [ReportList]
2016-08-18 10:42:07,539 INFO  [SoapUIProTestCaseRunner] Running Project [ReportList], runType = SEQUENTIAL
2016-08-18 10:42:07,598 INFO  [SoapUIProTestCaseRunner] Running SoapUI testcase [ReportList-报告单列表]
2016-08-18 10:42:07,626 INFO  [SoapUIProTestCaseRunner] running step [ReportListAll]
2016-08-18 10:42:08,440 INFO  [SoapUIProTestCaseRunner] Assertion [Contains] has status UNKNOWN
2016-08-18 10:42:08,441 INFO  [SoapUIProTestCaseRunner] Assertion [Script Assertion] has status VALID
2016-08-18 10:42:08,463 INFO  [SoapUIProTestCaseRunner] running step [ServiceID]
2016-08-18 10:42:08,615 INFO  [SoapUIProTestCaseRunner] Finished running SoapUI testcase [ReportList-报告单列表], time taken: 634ms, status: FINISHED
2016-08-18 10:42:08,617 INFO  [SoapUIProTestCaseRunner] Running SoapUI testcase [根据serviceID查询报告单]
2016-08-18 10:42:08,617 INFO  [SoapUIProTestCaseRunner] running step [ReportList_ServiceID]
2016-08-18 10:42:08,727 INFO  [SoapUIProTestCaseRunner] Assertion [JsonPath Count] has status VALID
2016-08-18 10:42:08,727 INFO  [SoapUIProTestCaseRunner] Assertion [Response SLA] has status VALID
2016-08-18 10:42:08,730 INFO  [SoapUIProTestCaseRunner] Finished running SoapUI testcase [根据serviceID查询报告单], time taken: 80ms, status: FINISHED
2016-08-18 10:42:08,742 INFO  [SoapUIProTestCaseRunner] Running SoapUI testcase [注册IM用户]
2016-08-18 10:42:09,494 INFO  [SoapUIProTestCaseRunner] running step [DataSource]
2016-08-18 10:42:09,591 INFO  [SoapUIProTestCaseRunner] running step [IMuser]
2016-08-18 10:42:09,708 INFO  [SoapUIProTestCaseRunner] Assertion [Contains] has status UNKNOWN
